alpha_ratio_avg,digits_pos_0_ratio,digits_pos_18_ratio,digits_pos_21_ratio,digits_pos_41_ratio,digits_pos_48_ratio,digits_pos_61_ratio,digits_pos_77_ratio,digits_pos_9_ratio,digits_ratio_avg,double_finess_ratio,filename,format_inferred,had_token_ratio,line_len_max,line_len_mean,line_len_median,line_len_min,n_lines,psy_token_ratio,size_bytes,spaces_ratio_avg,year_inferred
0.0759,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7791,1.0,fv_psy_raa_2021_M12.txt,PSY-other,0.0,149,94.0,93,93,10000,1.0,1948905,0.1451,2021
0.0214,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7883,1.0,fv_psy_rps_2021_M12.txt,PSY-other,0.0,200,154.1,152,152,2267,1.0,353822,0.1903,2021
0.0111,0.9956,0.9906,1.0,0.0,0.0,0.0,0.0,0.9956,0.4509,0.9838,fv_psy_vh_2021_M12.txt,PSY-other,0.0,452,452.0,452,452,1601,0.0,726854,0.538,2021
0.0167,0.5807,1.0,1.0,0.0,0.0,0.0,0.0,0.5807,0.3393,0.5807,fv_psy_vip_2021_M12.txt,PSY-other,0.0,120,120.0,120,120,2287,0.0,279012,0.6441,2021
0.0167,0.5807,1.0,1.0,0.0,0.0,0.0,0.0,0.5807,0.3393,0.5807,fv_psy_vip_2021_M12_FORMAT_ok.txt,PSY-other,0.0,120,120.0,120,120,2287,0.0,279014,0.6441,2021
0.1613,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7419,0.0,fv_psy_fs_cov_tests_2022_M12.txt,PSY-other,0.0,31,31.0,31,31,3,0.0,97,0.0645,2022
0.6648,0.0,0.411,1.0,1.0,1.0,0.0,1.0,0.6203,0.2333,0.0,fv_psy_ano_2022_M12.txt,PSY-other,0.0,1933,1651.5,1455,1455,3640,0.0,6018568,0.0747,2022
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6809,1.0,fv_psy_fc_htpart_2022_M12.txt,PSY-other,0.0,47,47.0,47,47,8797,0.0,431051,0.3191,2022
0.0179,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8839,1.0,fv_psy_fc_ic_2022_M12.TXT,PSY-other,0.0,112,112.0,112,112,161,0.0,18352,0.0982,2022
0.1053,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,fv_psy_ficum_2023_M12___date.txt,PSY-other,0.0,38,38.0,38,38,40,0.0,1600,0.0947,2023
0.0737,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.7543,1.0,fv_psy_raa_2022_M12.txt,PSY-other,0.0,144,97.2,96,96,10000,1.0,2044058,0.172,2022
0.0216,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.7687,1.0,fv_psy_rps_2022_M12.txt,PSY-other,0.0,202,157.1,154,154,2068,1.0,329120,0.2098,2022
0.0109,0.9987,0.9913,1.0,0.0,0.0,0.498,0.0,0.9987,0.4773,0.9873,fv_psy_vh_2022_M12.txt,PSY-other,0.0,468,468.0,468,468,1496,0.0,703118,0.5118,2022
0.0148,0.6362,1.0,1.0,0.0,0.0,0.0,0.0,0.6362,0.3077,0.6362,fv_psy_vip_2022_M12.txt,PSY-other,0.0,135,135.0,135,135,2144,0.0,293726,0.6775,2022
